id;name;year;type;genres;episodes;rating;source;status
16664; Kaguya-hime_no_Monogatari; 2013; Movie; 2; 1; 8.35; Other; 1
44; Rurouni_Kenshin__Meiji_Kenkaku_Romantan_-_Tsuioku-hen; 1999; OVA; 2; 2; 8.81; Manga; 1
9969; Gintama; 2012; TV; 2; 3; 9.14; Manga; 1
11241; Brave_10; 2012; TV; 2; 2; 6.95; Manga; 1
16890; Makai_Ouji__Devils_and_Realist; 2013; TV; 2; 2; 7.19; Manga; 1
123; Fushigi_Yuugi; 1996; TV; 2; 3; 7.76; Manga; 1
31405; Joker_Game; 2016; TV; 2; 2; 7.17; Novel; 1
5355; Sengoku_Basara; 2009; TV; 2; 2; 7.54; Game; 1
11933; Oda_Nobuna_no_Yabou; 2012; TV; 2; 2; 7.67; Lightnovel; 1
457; Mushishi; 2006; TV; 2; 2; 8.76; Manga; 1
45; Rurouni_Kenshin__Meiji_Kenkaku_Romantan; 1998; TV; 2; 3; 8.42; Manga; 1
31821; Arslan_Senki_TV__Fuujin_Ranbu; 2016; TV; 2; 2; 7.65; Manga; 1
22145; Kuroshitsuji__Book_of_Circus; 2014; TV; 2; 2; 8.36; Manga; 1
3901; Baccano_Specials; 2008; Special; 2; 2; 8.26; Lightnovel; 1
1914; Saiunkoku_Monogatari_2nd_Season; 2008; TV; 2; 3; 8.18; Lightnovel; 1
16866; Tonari_no_Kaibutsu-kun__Tonari_no_Gokudou-kun; 2013; OVA; 2; 1; 7.25; Manga; 1
452; InuYasha__Toki_wo_Koeru_Omoi; 2001; Movie; 2; 1; 7.68; Manga; 1
